pair,rank_a,rank_b,rank_distance,learned_pair,mean_accuracy,beta_alpha,beta_beta,beta_category,subjects_majority_error
A-B,0,1,1,False,0.7740259766578674,0.5275192948154548,0.22186765457408222,bimodal,14
A-C,0,2,2,False,0.8870130181312561,0.8291085868275564,0.1852140283783777,bimodal,6
A-D,0,3,3,False,0.9103896617889404,0.933241987293034,0.18392946097973126,bimodal,5
A-E,0,4,4,False,0.9740259647369385,5.305056583027677,0.22773409574703704,high_accuracy,1
A-F,0,5,5,True,0.9818181395530701,15.759253614186914,0.31069290265024485,high_accuracy,0
A-G,0,6,6,False,0.9766234159469604,12.505451435196726,0.3111233391186884,high_accuracy,0
A-H,0,7,7,True,0.9896103739738464,29.03242680681169,0.3399559109351992,high_accuracy,0
B-C,1,2,1,True,0.6896104216575623,0.32033961139556644,0.2072584770742306,bimodal,22
B-D,1,3,2,False,0.6779220104217529,0.2775382077220075,0.17928153983990378,bimodal,23
B-E,1,4,3,True,0.9103896021842957,0.8283252776636925,0.18285540224855423,bimodal,4
B-F,1,5,4,False,0.9207793474197388,1.231960016403304,0.19376679033084046,high_accuracy,4
B-G,1,6,5,False,0.9415585398674011,1.5267594324399254,0.19270359960589584,high_accuracy,3
B-H,1,7,6,False,0.9779221415519714,12.78878377174406,0.3035695207855711,high_accuracy,0
C-D,2,3,1,False,0.6454545259475708,0.28318776000317514,0.1987369026091063,bimodal,26
C-E,2,4,2,False,0.7740259766578674,0.41977037218231467,0.1857896121783593,bimodal,15
C-F,2,5,3,False,0.9012987017631531,0.6396082064515456,0.1604431651045597,bimodal,6
C-G,2,6,4,True,0.9571428894996643,1.703476244424174,0.1890649229565428,high_accuracy,2
C-H,2,7,5,False,0.9688311219215393,8.719082459998477,0.28948746628353406,high_accuracy,0
D-E,3,4,1,False,0.6818181872367859,0.31330646877103113,0.18185392803655476,bimodal,24
D-F,3,5,2,True,0.9103896617889404,1.3178006601103325,0.21011024666073744,high_accuracy,4
D-G,3,6,3,True,0.9415584206581116,2.6066739003314963,0.22380424617850406,high_accuracy,2
D-H,3,7,4,False,0.9259740710258484,0.9408296425580737,0.16860415623359964,bimodal,5
E-F,4,5,1,False,0.6883116960525513,0.33267737421117294,0.18949243679829644,bimodal,24
E-G,4,6,2,False,0.7896103858947754,0.5099437792340563,0.19020304699605756,bimodal,15
E-H,4,7,3,True,0.9493507146835327,1.643768384777706,0.1929892653841468,high_accuracy,2
F-G,5,6,1,False,0.5779221057891846,0.3349378389075041,0.24988762645212254,bimodal,31
F-H,5,7,2,False,0.8311688303947449,0.6285558564483537,0.20895472579986504,bimodal,9
G-H,6,7,1,False,0.7584415674209595,0.4016518986995904,0.18364480249640164,bimodal,18
